HG2412_PATCH	NW_019805502.1
KI270870.1	chr20_KI270870v1_alt
HSCHR3_5_CTG2_1	chr3_KI270781v1_alt
HG2308_PATCH	NW_025791778.1
KI270311.1	chrUn_KI270311v1
HSCHR3_8_CTG3	KI270937.1
HG2158_PATCH	chr9_MU273364v1_fix
HG2095_PATCH	chr1_KN538361v1_fix
HG2219_PATCH	NW_025791813.1
KZ559103.1	NW_019805490.1
GL000194.1	chr14_GL000194v1_random
HSCHR3_6_CTG3	chr3_KI270935v1_alt
KI270480.1	NT_187246.1
GL383521.1	NW_003315908.1
NT_187478.1	chrUn_KI270388v1
KI270394.1	chrUn_KI270394v1
MU273371.1	chr11_MU273371v1_fix
KQ759759.2	NW_015148966.2
KI270583.1	chrUn_KI270583v1
GJ211882.1	KI270343.1
HSCHR3_1_CTG1	NW_003871060.2
HG2527_PATCH	MU273393.1
HSCHR16_3_CTG1	NT_187608.1
KI270931.1	NT_187685.1
HSCHR22_6_CTG1	NW_014040930.1
KQ458387.1	NW_014040930.1
KQ983256.1	chr2_KQ983256v1_alt
MU273356.1	NW_025791779.1
KI270865.1	chr19_KI270865v1_alt
HSCHR4_2_CTG12	KI270785.1
HSCHR5_4_CTG1	chr5_KI270792v1_alt
KZ559114.1	NW_019805501.1
CM000682.2	chr20
MU273391.1	chr21_MU273391v1_fix
NT_187561.1	chr7_KI270809v1_alt
ML143368.1	chr14_ML143368v1_alt
KI270390.1	NT_187474.1
KI270894.1	NT_187648.1
HG2249_PATCH	NW_011332700.1
KI270872.1	chr21_KI270872v1_alt
HSCHR19KIR_0019-4656-B_CTG3_1	chr19_KV575256v1_alt
KI270778.1	NT_187536.1
GJ211886.1	KI270347.1
GJ211948.1	NT_187221.1
GL383568.1	HSCHR18_1_CTG2
GL383542.1	HSCHR9_1_CTG4
NW_003315956.1	chr18_GL383567v1_alt
KI270725.1	NT_187380.1
GJ211837.1	NT_187172.1
KI270878.1	NT_187632.1
NW_025791818.1	chrX_MU273395v1_alt
5	chr5
GL383566.1	NW_003315955.1
HSCHR6_1_CTG1	chr6_MU273357v1_alt
HSCHR16_3_CTG1	KI270855.1
KI270868.1	chr19_KI270868v1_alt
KI270571.1	NT_187286.1
HSCHRX_1_CTG14	NW_025791818.1
KI270307.1	NT_187283.1
KZ559116.1	NW_019805503.1
HSCHR3_5_CTG2_1	NT_187538.1
HG109_PATCH	NW_021160022.1
KI270577.1	NT_187291.1
KN538372.1	chr13_KN538372v1_fix
KI270844.1	chr14_KI270844v1_alt
HSCHR19KIR_LUCE_BDEL_HAP_CTG3_1	chr19_KI270890v1_alt
KI270830.1	NT_187584.1
MU273368.1	NW_025791791.1
HG30_PATCH	NW_016107298.1
NW_003315964.2	chr19_GL383575v2_alt
HG1398_PATCH	NW_021160008.1
9	chr9
KQ090025.1	chr13_KQ090025v1_alt
HSCHR11_1_CTG7	chr11_KI270831v1_alt
HSCHR19KIR_0010-5217-AB_CTG3_1	KV575254.1
KI270515.1	NT_187436.1
GL000047.2	NT_006576.17
KI270600.1	NT_187301.1
NW_003315915.1	chr4_GL383528v1_alt
KQ458388.1	chr22_KQ458388v1_alt
MU273377.1	NW_025791800.1
HG2264_PATCH	chr3_MU273346v1_fix
NW_013171802.1	chr6_KQ090016v1_fix
GJ212006.2	NT_187249.1
KI270894.1	chr2_KI270894v1_alt
KI270707.1	NT_187362.1
GL000130.2	NT_024862.15
HSCHR2_1_CTG15	KI270767.1
HSCHR17_1_CTG9	KI270860.1
NW_025791793.1	chr11_MU273370v1_fix
HSCHR5_4_CTG1_1	NT_187549.1
HSCHR22_3_CTG1	KI270928.1
NT_187596.1	chr13_KI270842v1_alt
KZ559108.1	NW_019805495.1
KI270743.1	NT_187498.1
HG1815_PATCH	KZ208916.1
KI270837.1	NT_187588.1
ML143364.1	NW_021160010.1
KI270581.1	chrUn_KI270581v1
NW_019805497.1	chr11_KZ559110v1_alt
NW_014040930.1	chr22_KQ458387v1_alt
HSCHR8_1_CTG7	NT_187567.1
NT_187666.1	chr18_KI270911v1_alt
KZ208908.1	chr2_KZ208908v1_alt
HG76_PATCH	KZ208915.1
GJ212071.1	NT_187280.1
NT_187557.1	chr6_KI270802v1_alt
MU273341.1	chr2_MU273341v1_fix
KI270708.1	NT_187363.1
KQ759759.2	chr11_KQ759759v2_fix
KI270727.1	NT_187382.1
HSCHR9_1_CTG5	chr9_KI270823v1_alt
KI270729.1	chr17_KI270729v1_random
KQ458386.1	NW_014040929.1
HG1012_PATCH	chr9_MU273365v1_fix
GL000224.1	NT_167218.1
KZ208905.1	NW_018654707.1
NW_018654710.1	chr2_KZ208908v1_alt
HSCHR4_2_CTG4	chr4_KQ090013v1_alt
NW_025791753.1	chr1_MU273330v1_alt
NT_187639.1	chr19_KI270885v1_alt
MU273343.1	chr2_MU273343v1_fix
NW_018654722.1	chr14_KZ208920v1_fix
NW_021160010.1	chr13_ML143364v1_fix
NT_187554.1	chr6_KI270799v1_alt
GL000044.2	NT_022853.16
HSCHR12_4_CTG2_1	NW_003315940.1
HG1507_PATCH	chrX_ML143383v1_fix
KI270754.1	chrUn_KI270754v1
HG152_PATCH	chr11_MU273369v1_fix
HSCHR19LRC_COX2_CTG3_1	NW_003571055.2
HSCHR5_5_CTG1	KI270793.1
HSCHR19LRC_COX1_CTG3_1	chr19_GL949746v1_alt
NT_187418.1	chrUn_KI270425v1
KI270549.1	NT_187278.1
KI270795.1	NT_187546.1
GJ211969.2	NT_187234.1
JH159147.1	chr17_JH159147v1_alt
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	chr19_KI270888v1_alt
NW_025791804.1	chr17_MU273381v1_fix
HSCHR5_8_CTG1	NW_016107297.1
NT_187576.1	chr8_KI270821v1_alt
KI270700.1	NT_187355.1
HSCHR7_1_CTG4_4	KI270806.1
KI270531.1	NT_187264.1
GJ212193.1	NT_187360.1
KI270869.1	NT_187623.1
KI270316.1	NT_187403.1
HG2263_PATCH	chr16_KZ559113v1_fix
HSCHR17_1_CTG9	NT_187612.1
NT_187498.1	chrUn_KI270743v1
HSCHR5_8_CTG1	chr5_KV575243v1_alt
GL383528.1	HSCHR4_1_CTG6
NT_187619.1	chr19_KI270866v1_alt
KI270846.1	chr14_KI270846v1_alt
GL383565.1	chr17_GL383565v1_alt
HSCHR12_5_CTG2_1	NT_187589.1
HG1521_PATCH	chr11_ML143356v1_fix
KI270720.1	NT_187375.1
NT_187543.1	chr4_KI270786v1_alt
KZ559110.1	chr11_KZ559110v1_alt
KV575250.1	NW_016107304.1
HSCHR6_1_CTG4	KI270797.1
HG2077_PATCH	NW_025791770.1
KI270397.1	NT_187204.1
KI270448.1	chrUn_KI270448v1
HSCHR17_2_CTG2	NT_187613.1
KI270801.1	chr6_KI270801v1_alt
NT_187458.1	chrUn_KI270330v1
NT_187669.1	chr19_KI270915v1_alt
KI270508.1	chrUn_KI270508v1
KI270538.1	chrUn_KI270538v1
J01415.2	chrM
HG2521_PATCH	MU273392.1
HSCHR12_1_CTG2_1	NW_003315939.2
HSCHRX_1_CTG3	NT_187634.1
KI270800.1	NT_187555.1
NW_009646197.1	chr3_KN196475v1_fix
KI270837.1	chr12_KI270837v1_alt
GL383575.2	NW_003315964.2
ML143370.1	NW_021160016.1
NT_187546.1	chr5_KI270795v1_alt
NT_187449.1	chrUn_KI270581v1
NW_003315952.3	chr17_GL383563v3_alt
KI270338.1	NT_187463.1
GL949748.2	NW_003571056.2
KI270610.1	NT_187311.1
HG2067_PATCH	NW_017852931.1
KI270419.1	chrUn_KI270419v1
KI270412.1	NT_187408.1
NT_187640.1	chr19_KI270886v1_alt
HSCHR1_3_CTG32_1	KI270763.1
NT_167244.2	chr6_GL000250v2_alt
HG1299_PATCH	ML143346.1
KV575247.1	chr19_KV575247v1_alt
KI270922.1	NT_187676.1
NW_016107305.1	chr19_KV575251v1_alt
NW_019805503.1	chr18_KZ559116v1_alt
HSCHR1_2_CTG32_1	chr1_KI270761v1_alt
HSCHR9_1_CTG1	chr9_GL383539v1_alt
HSCHR17_5_CTG4	JH159147.1
MU273349.1	chr4_MU273349v1_alt
HG1535_PATCH	KZ208924.1
KI866541.1	NT_187351.1
HG2060_PATCH	KZ559108.1
GJ211969.2	KI270447.1
KI270542.1	NT_187273.1
KI270384.1	chrUn_KI270384v1
GL383564.2	chr17_GL383564v2_alt
HG2233_PATCH	chr2_KN538362v1_fix
GL000133.2	NT_010663.16
KZ208918.1	NW_018654720.1
KI270771.1	chr2_KI270771v1_alt
NT_187473.1	chrUn_KI270389v1
HG2062_PATCH	NW_009646209.1
NT_187438.1	chrUn_KI270517v1
HG2235_PATCH	KQ031385.1
KI270377.1	NT_187202.1
KV575253.1	chr19_KV575253v1_alt
KI270320.1	NT_187401.1
KI270659.1	NT_187336.1
GJ211965.2	KI270443.1
HSCHR13_1_CTG3	KI270840.1
HG2133_PATCH	chr3_KZ559104v1_fix
GL000182.2	NT_086998.2
NT_187487.1	chrUn_KI270385v1
HG401_PATCH	MU273376.1
GJ212093.1	KI270573.1
GL383576.1	chr19_GL383576v1_alt
HG2219_PATCH	chr21_MU273390v1_fix
ML143343.1	NW_021159989.1
HG2066_PATCH	KN196475.1
KZ559109.1	NW_019805496.1
HG2527_PATCH	NW_025791816.1
GL383546.1	HSCHR10_1_CTG2
HSCHR4_12_CTG12	KV766193.1
HSCHR7_2_CTG1	chr7_KI270899v1_alt
NW_016107311.1	chr19_KV575257v1_alt
NW_015495298.1	chr1_KQ983255v1_alt
HSCHR3_3_CTG2_1	chr3_KI270778v1_alt
KI270843.1	chr13_KI270843v1_alt
GJ212066.1	NT_187276.1
CM000675.2	NC_000013.11
ML143357.1	NW_021160003.1
MU273373.1	chr14_MU273373v1_fix
HG28_PATCH	NW_021160004.1
NT_187668.1	chr19_KI270914v1_alt
KI270906.1	NT_187659.1
NW_025791812.1	chr20_MU273389v1_fix
HG2191_PATCH	KN196480.1
HSCHR19KIR_FH08_A_HAP_CTG3_1	KI270929.1
KI270915.1	NT_187669.1
GL000171.2	NT_011786.17
GJ211881.1	NT_187185.1
GL000187.1	NT_011903.12
HG1832_PATCH	NW_011332687.1
HSCHR6_1_CTG7	KI270800.1
GJ212060.1	KI270540.1
KI270519.1	NT_187433.1
HG1524_PATCH	ML143365.1
HSCHR19_2_CTG3_1	NT_187619.1
HSCHR3_8_CTG2_1	NW_019805489.1
GL000101.2	NT_009237.19
HSCHR8_5_CTG1	NT_187654.1
HG1012_PATCH	MU273365.1
MU273364.1	chr9_MU273364v1_fix
HG1815_PATCH	NW_018654718.1
GL949751.2	chr19_GL949751v2_alt
NW_003571057.2	chr19_GL949749v2_alt
NT_187477.1	chrUn_KI270396v1
HG2241_PATCH	chr10_KN538365v1_fix
HSCHR22_2_CTG1	NW_004504305.1
JH159146.1	chr17_JH159146v1_alt
NT_187529.1	chr2_KI270774v1_alt
KI270606.1	NT_187307.1
KQ458384.1	NW_014040927.1
KV880767.1	NW_017852932.1
HG2242_HG2243_PATCH	KN538366.1
HG2494_PATCH	MU273341.1
GJ211968.2	KI270446.1
KI270591.1	NT_187457.1
GJ212105.1	KI270585.1
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	NT_187671.1
HG2114_PATCH	chr11_KZ559109v1_fix
ML143350.1	NW_021159996.1
GL949747.2	chr19_GL949747v2_alt
ML143359.1	chr11_ML143359v1_fix
HSCHR9_1_CTG7	KQ090019.1
HG2088_PATCH	KV880764.1
HSCHR7_4_CTG1	chr7_MU273358v1_alt
HG2578_PATCH	NW_025791794.1
NT_187446.1	chrUn_KI270583v1
NW_025791768.1	chr2_MU273345v1_fix
NT_187614.1	chr17_KI270857v1_alt
MU273340.1	NW_025791763.1
HSCHR1_4_CTG31	chr1_KI270765v1_alt
NW_003315938.1	chr12_GL383549v1_alt
KI270517.1	NT_187438.1
HSCHR17_1_CTG9	chr17_KI270860v1_alt
KI270657.1	NT_187334.1
HSCHR5_4_CTG1_1	KI270796.1
1	NC_000001.11
NW_012132921.1	chr16_KQ031390v1_alt
HG1509_PATCH	chrX_ML143384v1_fix
MU273335.1	NW_025791758.1
NT_187663.1	chr17_KI270908v1_alt
KI270813.1	NT_187570.1
GL383531.1	chr5_GL383531v1_alt
GL000002.2	NT_077912.2
MU273336.1	NW_025791759.1
HSCHR10_1_CTG1	chr10_GL383545v1_alt
GL000256.2	chr6_GL000256v2_alt
KI270719.1	chr9_KI270719v1_random
HG2442_PATCH	KZ208922.1
KI270758.1	chr6_KI270758v1_alt
NW_025791785.1	chr8_MU273362v1_fix
HSCHR2_2_CTG7_2	NW_003571033.2
GL000051.2	NT_023133.14
KI270829.1	NT_187583.1
KI270786.1	NT_187543.1
NT_187623.1	chr20_KI270869v1_alt
HG1506_PATCH	NW_021160028.1
MU273376.1	NW_025791799.1
KZ559109.1	chr11_KZ559109v1_fix
KI270884.1	chr19_KI270884v1_alt
GL000209.2	NT_113949.2
KI270804.1	NT_187558.1
KI270506.1	NT_187255.1
KI270516.1	NT_187431.1
KI270750.1	NT_187505.1
HSCHR17_3_CTG2	NT_187664.1
HSCHR14_9_CTG1	chr14_ML143368v1_alt
KN196484.1	chr19_KN196484v1_fix
GJ211836.1	KI270300.1
HSCHR2_6_CTG1	NW_025791763.1
MU273349.1	NW_025791772.1
HG2176_PATCH	MU273359.1
HG2509_PATCH	chr13_ML143366v1_fix
HSCHRX_2_CTG14	MU273396.1
ML143372.1	NW_021160018.1
GL383569.1	chr18_GL383569v1_alt
GL000226.1	chrUn_GL000226v1
KI270853.1	chr16_KI270853v1_alt
HG2030_PATCH	chr9_KN196479v1_fix
KI270548.1	NT_187445.1
KI270733.1	NT_187388.1
HSCHR19KIR_T7526_A_HAP_CTG3_1	chr19_KI270915v1_alt
HG2442_PATCH	chr18_KZ208922v1_fix
NT_187509.1	chrUn_KI270754v1
KN538364.1	chr3_KN538364v1_fix
HG2461_PATCH	NW_025791807.1
GL383582.2	HSCHR22_1_CTG1
KB021644.2	NW_004166862.2
HG2246_HG2248_HG2276_PATCH	ML143361.1
NT_187493.1	chrUn_KI270375v1
HSCHR3_2_CTG2_1	KI270777.1
NT_187514.1	chr1_KI270760v1_alt
NT_187391.1	chr22_KI270736v1_random
HG2554_PATCH	MU273372.1
HSCHR15_4_CTG8	KI270905.1
HG2062_PATCH	chrY_KN196487v1_fix
HG2569_PATCH	MU273385.1
HSCHR2_2_CTG7	KI270894.1
HSCHR16_1_CTG1	KI270853.1
NT_187548.1	chr5_KI270792v1_alt
HSCHR8_1_CTG6	chr8_KI270814v1_alt
ML143374.1	NW_021160020.1
KI270772.1	NT_187524.1
HG2266_PATCH	KV880765.1
HSCHR22_1_CTG2	chr22_GL383583v2_alt
HG30_PATCH	chr5_KV575244v1_fix
GL383526.1	chr3_GL383526v1_alt
HG2095_PATCH	KN538361.1
NW_019805500.1	chr16_KZ559113v1_fix
JH159146.1	NW_003871091.1
NT_187408.1	chrUn_KI270412v1
HSCHR8_2_CTG7	NT_187569.1
GJ211904.2	NT_187197.1
HSCHR6_1_CTG1	NW_025791780.1
HSCHR19KIR_0019-4656-A_CTG3_1	KV575246.1
KI270917.1	NT_187671.1
KI270857.1	NT_187614.1
KI270823.1	chr9_KI270823v1_alt
KI270347.1	NT_187190.1
NT_187371.1	chr2_KI270716v1_random
NW_003315943.1	chr15_GL383554v1_alt
HSCHR3_7_CTG2_1	NW_019805488.1
KI270752.1	chrUn_KI270752v1
KI270767.1	chr2_KI270767v1_alt
GJ211992.2	NT_187240.1
KZ208919.1	NW_018654721.1
KI270865.1	NT_187621.1
NW_025791775.1	chr5_MU273352v1_fix
HSCHR1_8_CTG3	NW_018654706.1
NW_021160021.1	chr17_ML143375v1_fix
KZ208917.1	NW_018654719.1
HSCHR3_8_CTG3	chr3_KI270937v1_alt
HSCHR19_5_CTG2	chr19_KI270868v1_alt
NW_018654717.1	chr8_KZ208915v1_fix
GL000167.2	NT_011630.15
NW_014040925.1	chr1_KQ458382v1_alt
ML143375.1	chr17_ML143375v1_fix
CM000670.2	chr8
HG1832_PATCH	chr1_KN538360v1_fix
NW_004166862.2	chr6_KB021644v2_alt
HG2419_PATCH	NW_018654716.1
GL000139.2	NT_011295.12
NT_187622.1	chr19_KI270868v1_alt
NT_187372.1	chr9_KI270717v1_random
KQ090028.1	chr18_KQ090028v1_fix
KI270912.1	NT_187665.1
GL877875.1	NW_003571049.1
KI270336.1	NT_187465.1
KB021644.2	chr6_KB021644v2_alt
HSCHR4_4_CTG12	NT_187544.1
KI270522.1	NT_187434.1
KI270669.1	NT_187342.1
GL383572.1	NW_003315961.1
HG1509_PATCH	ML143384.1
KI270546.1	NT_187276.1
GL000052.2	NT_007592.16
HSCHR22_2_CTG1	KB663609.1
9	NC_000009.12
KI270521.1	NT_187496.1
KI270482.1	NT_187247.1
HSCHR16_4_CTG1	chr16_KI270856v1_alt
KN196478.1	NW_009646200.1
HSCHR8_1_CTG6	NT_187566.1
HSCHR16_1_CTG3_1	chr16_GL383556v1_alt
HSCHR13_1_CTG1	chr13_KI270838v1_alt
KI270432.1	NT_187226.1
KI270790.1	NT_187540.1
NT_187387.1	chr22_KI270732v1_random
KI270899.1	chr7_KI270899v1_alt
KQ090017.1	chr6_KQ090017v1_alt
KI270923.1	NT_187677.1
KI270707.1	chr1_KI270707v1_random
NT_187404.1	chrUn_KI270315v1
NT_187435.1	chrUn_KI270511v1
ML143363.1	NW_021160009.1
KI270468.1	NT_187426.1
KI270885.1	NT_187639.1
KI270326.1	NT_187179.1
GJ212091.1	KI270571.1
KI270715.1	NT_187370.1
KI270731.1	chr22_KI270731v1_random
HSCHR16_2_CTG3_1	chr16_GL383557v1_alt
HSCHR22_1_CTG4	KI270876.1
HSCHR18_1_CTG2	NW_003315957.1
NW_021159994.1	chr4_ML143348v1_fix
KV766194.1	chr6_KV766194v1_fix
NT_167249.2	chr6_GL000256v2_alt
NW_025791769.1	chr3_MU273346v1_fix
MU273371.1	NW_025791794.1
HSCHR2_1_CTG5	chr2_GL383521v1_alt
NW_013171813.1	chr16_KQ090027v1_alt
KI270904.1	NT_187658.1
ML143344.1	NW_021159990.1
KI270389.1	NT_187473.1
KI270593.1	NT_187456.1
HG2554_PATCH	NW_025791795.1
KI270836.1	NT_187591.1
NT_187609.1	chr16_KI270856v1_alt
GL383568.1	NW_003315957.1
GJ211962.2	KI270440.1
KI270918.1	NT_187672.1
HG107_HG2565_PATCH	NW_015148966.2
HG1832_PATCH	KN538360.1
KI270834.1	chr12_KI270834v1_alt
GL000121.2	NT_010194.18
GJ211933.1	KI270410.1
GJ212132.2	NT_187328.1
HSCHR5_6_CTG1	KI270794.1
KI270791.1	chr5_KI270791v1_alt
KQ983258.1	chr4_KQ983258v1_alt
KI270866.1	NT_187619.1
NW_016107301.1	chr19_KV575247v1_alt
HSCHR6_1_CTG4	chr6_KI270797v1_alt
GL383522.1	HSCHR2_1_CTG7_2
HG405_PATCH	MU273377.1
HSCHR20_1_CTG2	chr20_KI270869v1_alt
HSCHR4_2_CTG8_1	MU273349.1
GL383569.1	HSCHR18_1_CTG2_1
HSCHRX_1_CTG3	chrX_KI270880v1_alt
KI270440.1	NT_187229.1
HSCHR3_9_CTG3	NT_187539.1
HSCHR17_4_CTG4	NW_003871091.1
HSCHR17_13_CTG4	NW_025791801.1
KI270801.1	NT_187556.1
NT_187420.1	chrUn_KI270442v1
HG1507_PATCH	ML143383.1
KI270745.1	chrUn_KI270745v1
NT_187376.1	na
NT_187637.1	chr19_KI270883v1_alt
GJ211936.1	NT_187218.1
15	chr15
GJ212203.1	KI866533.1
NT_187463.1	chrUn_KI270338v1
HG410_PATCH	chr20_MU273389v1_fix
HSCHR1_2_CTG31	NW_003315906.1
GL383527.1	HSCHR4_1_CTG12
MU273339.1	NW_025791762.1
HG2072_PATCH	KQ090016.1
NW_003571054.1	chr19_GL949746v1_alt
HSCHR1_6_CTG3	KV880763.1
NT_187690.1	chr3_KI270936v1_alt
KI270928.1	NT_187682.1
HSCHR12_1_CTG1	NW_003571049.1
HG2115_PATCH	NW_021160005.1
HSCHR8_6_CTG7	KI270820.1
GJ211991.2	KI270469.1
HG2121_PATCH	chr6_KV766194v1_fix
4	NC_000004.12
NT_187580.1	chr10_KI270825v1_alt
KV880763.1	NW_017852928.1
NT_187486.1	chrUn_KI270381v1
HG2002_PATCH	chr1_KZ208906v1_fix
HG2568_PATCH	MU273370.1
HSCHR4_1_CTG9	chr4_GL000257v2_alt
NW_003315967.2	chr21_GL383578v2_alt
HSCHR19KIR_LUCE_A_HAP_CTG3_1	KI270889.1
NW_017363819.1	chr17_KV766198v1_alt
NT_187658.1	chr12_KI270904v1_alt
HSCHR15_3_CTG8	KI270849.1
NW_009646201.1	chr9_KN196479v1_fix
NW_019805491.1	chr3_KZ559104v1_fix
NT_187620.1	chr19_KI270867v1_alt
NW_016107299.1	chr17_KV575245v1_fix
NT_187462.1	chrUn_KI270335v1
HSCHR2_4_CTG7_2	NT_187530.1
HSCHR2_12_CTG7_2	NW_025791762.1
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	NT_187641.1
KZ559115.1	chr18_KZ559115v1_fix
NW_003315909.1	chr2_GL383522v1_alt
GL000258.2	chr17_GL000258v2_alt
NW_016107302.1	chr19_KV575248v1_alt
KI270746.1	NT_187501.1
GJ212165.2	NT_187345.1
KI270793.1	chr5_KI270793v1_alt
NT_187644.1	chr19_KI270890v1_alt
HG142_HG150_NOVEL_TEST	chr11_JH159136v1_alt
KI270871.1	NT_187625.1
NW_011332696.1	chr12_KN538369v1_fix
HSCHRX_3_CTG7	NW_017363820.1
NT_187555.1	chr6_KI270800v1_alt
KN538361.1	chr1_KN538361v1_fix
10	CM000672.2
HSCHR9_1_CTG3	NW_003315930.1
NW_021159987.1	chr2_ML143341v1_fix
NW_016107304.1	chr19_KV575250v1_alt
ML143367.1	NW_021160013.1
NW_025791773.1	chr4_MU273350v1_fix
KN538362.1	chr2_KN538362v1_fix
MU273351.1	chr4_MU273351v1_fix
HSCHR2_1_CTG1	KI270769.1
NW_025791805.1	chr17_MU273382v1_fix
GL000209.2	chr19_GL000209v2_alt
HSCHR5_1_CTG1_1	NT_187651.1
3	NC_000003.12
HSCHR19LRC_LRC_T_CTG3_1	NW_003571059.2
HSCHR4_6_CTG12	KI270896.1
HSCHR2_3_CTG15	KI270776.1
KI270916.1	chr19_KI270916v1_alt
CM000680.2	chr18
HSCHR1_5_CTG32_1	NW_014040927.1
KI270866.1	chr19_KI270866v1_alt
HSCHR4_1_CTG4	chr4_KI270790v1_alt
HSCHR12_4_CTG2	NT_187587.1
HSCHR19KIR_G248_BA2_HAP_CTG3_1	chr19_KI270886v1_alt
KI270386.1	NT_187480.1
KI270898.1	NT_187652.1
HSCHR19LRC_LRC_J_CTG3_1	chr19_GL949749v2_alt
NW_021160005.1	chr11_ML143359v1_fix
NW_011332697.1	chr12_KN538370v1_fix
NT_187683.1	chr19_KI270929v1_alt
KQ090026.1	NW_013171812.1
HSCHR17_2_CTG4	NW_003315954.1
HSCHR2_1_CTG15	NT_187523.1
HSCHR14_9_CTG1	ML143368.1
KI270511.1	chrUn_KI270511v1
GL949749.2	chr19_GL949749v2_alt
KI270391.1	chrUn_KI270391v1
NW_025791776.1	chr5_MU273353v1_fix
KI270730.1	chr17_KI270730v1_random
HSCHR3_5_CTG3	NT_187688.1
KN196481.1	NW_009646203.1
KI270677.1	NT_187348.1
HSCHR1_1_CTG32_1	chr1_KI270759v1_alt
GL949750.2	chr19_GL949750v2_alt
NW_021160024.1	chr22_ML143378v1_fix
CM000684.2	NC_000022.11
KI270433.1	NT_187227.1
GL383573.1	chr19_GL383573v1_alt
KI270607.1	NT_187308.1
HSCHR12_8_CTG2_1	KZ208918.1
HG2022_PATCH	chr3_KN196476v1_fix
GL383573.1	NW_003315962.1
NT_187688.1	chr3_KI270934v1_alt
HSCHR19KIR_CA04_CTG3_1	KV575257.1
GL000084.1	NT_078067.3
NW_021160004.1	chr11_ML143358v1_fix
NW_019805501.1	chr17_KZ559114v1_alt
22	NC_000022.11
NT_187496.1	chrUn_KI270521v1
KI270758.1	NT_187692.1
HG2576_PATCH	NW_025791790.1
HG109_PATCH	chr19_ML143376v1_fix
NW_025791816.1	chrX_MU273393v1_fix
CM000682.2	NC_000020.11
GL383565.1	NW_003315954.1
HSCHR8_7_CTG7	chr8_KZ559107v1_alt
NT_187406.1	chrUn_KI270311v1
KI270933.1	chr19_KI270933v1_alt
HSCHR6_MHC_SSTO_CTG1	NT_167249.2
NT_187374.1	chr9_KI270719v1_random
HSCHR2_1_CTG7	chr2_KI270772v1_alt
HSCHR19KIR_FH06_A_HAP_CTG3_1	KI270922.1
KN538369.1	chr12_KN538369v1_fix
MU273363.1	NW_025791786.1
KI270755.1	chrUn_KI270755v1
ML143355.1	NW_021160001.1
KI270900.1	NT_187654.1
NW_003315935.1	chr10_GL383546v1_alt
HG1320_PATCH	NW_021160021.1
NW_003315961.1	chr18_GL383572v1_alt
GL000039.2	NT_006316.17
HG2288_HG2289_PATCH	KN538371.1
HG2554_PATCH	chr12_MU273372v1_fix
NT_187581.1	chr11_KI270826v1_alt
16	NC_000016.10
KI270891.1	chr19_KI270891v1_alt
NT_187403.1	chrUn_KI270316v1
NT_187572.1	chr8_KI270818v1_alt
KI270573.1	NT_187288.1
MU273357.1	NW_025791780.1
GL000006.2	NT_032977.10
KI270812.1	NT_187568.1
HG2541_PATCH	MU273394.1
GL383566.1	HSCHR17_3_CTG4
KI270887.1	NT_187641.1
HSCHR3_4_CTG2_1	chr3_KI270780v1_alt
NW_013171809.1	chr12_KQ090023v1_alt
KI270797.1	NT_187552.1
HSCHR12_4_CTG2	chr12_KI270835v1_alt
HSCHR1_2_CTG3	chr1_KI270766v1_alt
NW_003315939.2	chr12_GL383550v2_alt
HG439_PATCH	ML143381.1
MU273382.1	chr17_MU273382v1_fix
HSCHR2_7_CTG7_2	NW_018654709.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	KI270914.1
KI270372.1	NT_187491.1
NW_012132914.1	chr1_KQ031383v1_fix
KI270777.1	chr3_KI270777v1_alt
KI270304.1	NT_187397.1
NW_021159999.1	chr9_ML143353v1_fix
GL383570.1	HSCHR18_2_CTG1_1
HG2249_PATCH	KN538373.1
HG2526_HG2573_PATCH	chr14_MU273373v1_fix
NT_187395.1	chrY_KI270740v1_random
HSCHR20_1_CTG2	KI270869.1
GJ212206.1	NT_187237.1
GL383520.2	NW_003315907.2
NC_000009.12	chr9
HG1277_PATCH	ML143355.1
HG1524_PATCH	NW_021160011.1
MU273391.1	NW_025791814.1
KV766197.1	chr17_KV766197v1_alt
KI270836.1	chr12_KI270836v1_alt
NW_012132918.1	chr6_KQ031387v1_fix
NW_021160016.1	chr15_ML143370v1_fix
KI270776.1	chr2_KI270776v1_alt
HSCHR12_3_CTG2	NT_187658.1
HSCHR8_3_CTG7	chr8_KI270816v1_alt
NT_187361.1	chr1_KI270706v1_random
KI270370.1	NT_187201.1
GJ212205.1	KI866534.1
KQ031389.1	NW_012132920.1
GJ212004.2	NT_187247.1
KI270713.1	chr1_KI270713v1_random
HSCHR2_2_CTG7	chr2_KI270894v1_alt
ML143355.1	chr10_ML143355v1_fix
HSCHR4_2_CTG12	chr4_KI270785v1_alt
KI270423.1	NT_187417.1
HSCHR15_5_CTG8	NT_187606.1
KI270909.1	chr17_KI270909v1_alt
HSCHR17_1_CTG2	KI270861.1
GL000220.1	chrUn_GL000220v1
GJ212209.1	KI866542.1
HG2236_PATCH	KV766192.1
GL000257.2	HSCHR4_1_CTG9
GJ212069.1	NT_187278.1
GL383556.1	HSCHR16_1_CTG3_1
NW_021160011.1	chr13_ML143365v1_fix
